asin,text,title,location_and_date,verified,rating,negative or positive,reviews,grade_bad,lang
B09QFQ2X4G,"Very disappointed,missing vital parts towards the end of the build which is left incomplete! I now have a very upset child on his birthday 😤",Faulty,Reviewed in the United Kingdom on 24 August 2022,True,1.0,negative,very disappointed missing vital part toward the end of the build which is left incomplet now hav very upset child on his birthday faulty,0.0,en
B0966P7KM6,Was soll man da groß schreiben! Tolle Figur- tolles Konzept- die Kinder lieben dieses System! Figur drauf - los geht es!,Tolle Figur für die Tonie Box,Reviewed in Germany 🇩🇪 on 18 October 2022,True,5.0,positive,gross schreib toll figur toll konzept kind lieb syst figur drauf los geht toll figur toni box,1.0,en
B0966P7KM6,Schön,Alles,Reviewed in Germany 🇩🇪 on 29 October 2022,True,5.0,positive,schonall,1.0,en
B0966P7KM6,Eine tolle Figur mit tollen Geschichten!,Der Liebling meines Sohnes,Reviewed in Germany 🇩🇪 on 19 July 2022,True,5.0,positive,toll figur toll geschicht liebling sohn,1.0,en
B0966P7KM6,Alles top,Alles top,Reviewed in Germany 🇩🇪 on 24 July 2022,True,5.0,positive,topall top,1.0,en
B01FDIVD9A,"Ist ein super Spiel. Es macht Spaß, man lacht viel 😊 und es ist eine gute Übung für die Feinmotorik.",Tolles Spiel,Reviewed in Germany on 20 November 2022,True,5.0,positive,SUP game is fun laughs good practice fine motor skills great game ,1.0,en
B01FDIVD9A,Sehr schönes Spiel; tolle Verpackung !,Sehr schönes Spiel,Reviewed in Germany on 28 November 2022,True,5.0,positive,already game great packaging already game ,1.0,en
B07WKW7847,Despite of being new package is destroyed,Package destroyed,Reviewed in Germany on 7 October 2022,True,1.0,negative,despit of being new packag is destroyedpackag destroyed,0.0,en
B084DH6CRC,We are able to make more than before with the big box that we already had.The children enjoy so much,We enjoy to build bigger project,Reviewed in Germany on 4 October 2022,True,5.0,positive,we are abl to mak mor than befor with the big box that we already had the childr enjoy muchw enjoy to build bigg project,1.0,en
B084DH6CRC,The only thing this product raises is your temper! Very poorly designed and certainly not made for children to make on their own. There is no way it was product tested on children. As a grown man of 39 years old I have found it incredibly difficult and frustrating to build and construct. It’s just not intuitive!I’ve told my son that under no circumstances must he take them apart - I will not be rebuilding them.,Great idea - shocking design,Reviewed in Germany on 29 December 2021,True,2.0,negative,the only thing this product rais is your temp very poorly designed and certainly not mad for childr to mak on their own ther is no way it product tested on childr as grown of year old hav found it incredibly difficult and frustrating to build and construct it just not intuitiv ve told my son that und no circumstanc must he tak them apart not be rebuilding them great idea shocking design,0.0,en
B06WWGG85P,"Keeps your child focused and makes them happy with the end result. Good for children to experiment trial and error and learning by doing process. It offers several possibilities of construction, depending on each one’s imagination. Possibility to expand with additional features. It allows parents and other children to play together as a team.",Fun for children and adults,Reviewed in Germany on 10 September 2022,True,5.0,positive,keeps your child focused and mak them happy with the end result good for childr to experiment trial and error and learning by doing process it off several possibiliti of construction depending on each one imagination possibility to expand with additional featur it allows parent and oth childr to play togeth as team fun for childr and adult,1.0,en
B06WWGG85P,Great gift! 8 year old spent hours trying out all possibilities. We bought an additional kit..,Gravitrax,Reviewed in Germany on 7 September 2022,True,5.0,positive,great gift year old spent hour trying out all possibiliti we bought additional kit gravitrax,1.0,en
B0886PQWY5,"Great quality, feels sturdy and my son loves the pop-up function. It was a nice surprise that Rex’ wheelchair had actual wheels, I was expecting them to be molded.",Great quality :),Reviewed in Germany on 21 September 2022,True,5.0,positive,great quality feel sturdy and my son lov the pop up function it nic surpris that rex wheelchair had actual wheel expecting them to be molded great quality,1.0,en
B0886PQWY5,Meine Tochter ist ein großer Fan der PAW Patrol. Da durfte Treck natürlich nicht fehlen. Das Auto ist ziemlich groß,Für jeden paw patrol Fan ein Muss,Reviewed in Germany on 30 August 2022,True,5.0,positive,tocht gross fan paw patrol durft treck natur fehl auto ziemlich grossfur paw patrol fan,1.0,en
B0886PQWY5,"ist super, Kinder spielen gerne damit",Paw Patrol Rubble mit Fahrzeug,Reviewed in Germany on 4 September 2022,True,5.0,positive,Sup Kind Spielt Gern Damit Patol Rubble Fahrzeug ,1.0,en
B0886PQWY5,Alles top,Alles top,Reviewed in Germany on 17 June 2022,True,5.0,positive,topall top,1.0,en
B01J41DNWM,Bought this as a present for a friend and the packaging box was fine but the item's box itself came in broken so they must have given me a broken box from the beginning. This was a honestly disappointing.,Box came in broke,Reviewed in Germany 🇩🇪 on 1 October 2022,True,1.0,negative,bought this as present for friend and the packaging box fin but the item box itself cam brok they must hav giv me brok box from the beginning this honestly disappointing box cam brok,0.0,en
B084DG27ZQ,Es macht mega viel Spaß drauf zu malen.,Top,Reviewed in Germany 🇩🇪 on 26 November 2022,True,5.0,positive,macht mega spass drauf mal top,1.0,en
B08TZX43QF,Bought it as a christmas present for the kids in my class and it’s one of their favourite games! They really enjoy it :),Great game for kids,Reviewed in Germany 🇩🇪 on 12 September 2022,True,5.0,positive,bought it as christmas present for the kid my class and it one of their favourit gam they really enjoy it great gam for kid,1.0,en
B08TZX43QF,"My cousins were delighted with the gift.  It's was nice to see them playing it.  I joined, and won a few times.  Grown-ups can play also.",Kids are like it,Reviewed in Germany 🇩🇪 on 29 August 2022,True,5.0,positive,my cousin wer delighted with the gift it nic to see them playing it joined and won few tim grown ups can play kid are lik it,1.0,en
B00006YYY5,"This is an easy-to-learn game that is great fun! I play with my kids all the time, fun and easy to play. Graet family fun!",Awesome card game!!,Reviewed in Germany 🇩🇪 on 27 November 2022,True,5.0,positive,this is easy to learn gam that is great fun play with my kid all the tim fun and easy to play graet family fun awesom card gam,1.0,en
B09BNWHBTY,"Great lego set but this particular one arrived with smashed in box.  Very disappointing, but saved by some top class Anazon customer service (Amazon are always great when things go wrong).",Damaged on arrival,Reviewed in the United Kingdom on 5 July 2022,True,1.0,negative,great lego set but this particular one arrived with smashed box very disappointing but saved by som top class anazon custom servic amazon are always great when thing go wrong damaged on arrival,0.0,en
B09BNWHBTY,Arrived with parts missing,Arrived with parts missing,Reviewed in the United Kingdom on 25 May 2022,True,1.0,negative,arrived with part missingarrived with part missing,0.0,en
B07958SSD9,Tolles Spiel,Rush Hour,Reviewed in Germany on 10 November 2022,True,5.0,positive,toll spielrush hour,1.0,en
B08N71TVT1,Rubbles ist Löwe,Rubbles bester mann,Reviewed in Germany on 22 November 2022,True,5.0,positive,rubbl lowerubbl best mann,1.0,en
B08N71TVT1,"There was a hole in the leg and the leg is nearly falling off now after 1 day. My daughter is very upset. I wouldn't buy this again, I would look for a better quality product and pay a little more. To get a refund we have to return and we don't have time, not really worth it for £5. If we ask for a replacement we also have to return the product or we get charged again so not worth the time.",Poor quality a hole in the leg,Reviewed in the United Kingdom on 18 April 2022,True,1.0,negative,ther hol the leg and the leg is nearly falling off now aft day my daught is very upset wouldn buy this again would look for bett quality product and pay littl mor to get refund we hav to return and we don hav tim not really worth it for if we ask for replacement we hav to return the product or we get charged again not worth the tim poor quality hol the leg,0.0,en
B083XRY7YR,"War toll, spannend und cool, leider nicht zum Wiederholen",Toll,Reviewed in Germany on 11 September 2022,True,5.0,positive,toll spannend cool leid wiederholentoll,1.0,en
B07WLMV14S,Very good quality. Lots of colours. Box is realy practical both for storing and playing. My 2 year old realy loves it 🥰,Super birthday gift,Reviewed in Germany 🇩🇪 on 7 October 2022,True,5.0,positive,very good quality lot of colour box is realy practical both for storing and playing my year old realy lov it sup birthday gift,1.0,en
B00J2WA0TI,"A scratched product arrived. It was well packed, the box was not damaged.",Scratched item arrived.,Reviewed in Germany on 24 November 2022,True,1.0,negative,scratched product arrived it well packed the box not damaged scratched item arrived,0.0,en
B07WVFBS8S,My granddaughter was very very happy with the surprise !,Colourful and tasty !,Reviewed in Germany on 21 December 2020,True,5.0,positive,my granddaught very very happy with the surpris colourful and tasty,1.0,en
B09RBCTLF2,die Kinder lieben es .Einfach toll,total super,Reviewed in Germany 🇩🇪 on 24 November 2022,True,5.0,positive,kind lieb einfach tolltotal sup,1.0,en
B09RBCTLF2,Meinem Sohn gefällt der tonie. Wer paw patrol mag wird die paw patrol tonies lieben :),Super :),Reviewed in Germany 🇩🇪 on 1 November 2022,True,5.0,positive,sohn gefallt toni wer paw patrol mag paw patrol toni lieb sup,1.0,en
B09RBCTLF2,Super Idee,Einfach gut 👍,Reviewed in Germany 🇩🇪 on 6 November 2022,True,5.0,positive,sup ideeeinfach gut,1.0,en
B09RBCTLF2,Schön,Alles,Reviewed in Germany 🇩🇪 on 29 October 2022,True,5.0,positive,schonall,1.0,en
B09RBCTLF2,Tonie ist der absolute Hit von paw petrol,Paw patrol Tonie,Reviewed in Germany 🇩🇪 on 11 April 2022,True,1.0,negative,toni absolut hit paw petrolpaw patrol toni,0.0,en
B09GR85FG9,Macht sehr Spaß 😁,Super,Reviewed in Germany 🇩🇪 on 20 August 2022,True,5.0,positive,macht spass sup,1.0,en
B08LDT6818,"Having played a lot of Uno Extreme in my childhood, I chose this Uno to round out my table game collection.While the old Uno Extreme had a dedicated area on top of the device to play the cards on, this new iteration omits a play area in favor of light effects. The algorithm for dispensing the cards is more refined and does not follow super obvious patterns like the old version. This leads to more tension while playing, even for players that are familiar with the old Uno Extreme. Sometimes dispensed cards are facing up, revealing the cards to the other players, which was not a big issue since it can happen to everybody and enables more ""strategic"" play around other players known cards.My only gripe with the new version is that it still uses LR14 batteries, which are more expensive and harder to get compared to AAA batteries. Having a rechargeable battery would have elevated this product to the next level.",Modern take on the proven Extreme Uno formula,Reviewed in Germany on 17 November 2022,True,5.0,positive,having played lot of uno extrem my childhood chos this uno to round out my tabl gam collection whil the old uno extrem had dedicated area on top of the devic to play the card on this new iteration omit play area favor of light effect the algorithm for dispensing the card is mor refined and does not follow sup obvious pattern lik the old version this lead to mor tension whil playing even for play that are familiar with the old uno extrem sometim dispensed card are facing up revealing the card to the oth play which not big issu sinc it can happ to everybody and enabl mor strategic play around oth play known card my only grip with the new version is that it still uses lr batteri which are mor expensiv and hard to get compared to aaa batteri having rechargeabl battery would hav elevated this product to the next level mod tak on the prov extrem uno formula,1.0,en
B07H1JN3HN,Tattoos haben super schöne Motive.Sehen natürlich aus durch die dezente Farbgebung.Sie halten lange. Kann man aber auch gut abwaschen wenn man sie nicht mehr möchte.Unsere Tochter liebt sie,Tolle Tattoos langlebig,Reviewed in Germany on 9 November 2022,True,5.0,positive,tattoos sup schon motiv seh natur dezent farbgeb halt lang gut abwasch mehr mocht tocht liebt sietoll tattoos langleb,1.0,en
B07W5QM4DP,Alle Würfel sind toll.Sie sehen cool aus und man kann viele Formen damit herstellen. Ich habe gleich noch einen bestellt.,Super cooler Würfel,Reviewed in Germany 🇩🇪 on 25 October 2022,True,5.0,positive,wurfel toll seh cool viel form herstell gleich bestellt sup cool wurfel,1.0,en
B08952CD8W,"I know it's not appropriate toy nowadays but in terms of playing activities it's perfect. A lot bigger than imagined, shots well (though it's not working perfectly for maximum amount of bullets loaded).",Fun toygun,Reviewed in Germany on 15 November 2022,True,5.0,positive,know it not appropriat toy nowadays but term of playing activiti it perfect lot bigg than imagined shot well though it not working perfectly for maximum amount of bullet loaded fun toygun,1.0,en
B09BNXY2T3,Alles top,Alles top,Reviewed in Germany on 31 October 2022,True,5.0,positive,topall top,1.0,en
B09BNXY2T3,Top,Top,Reviewed in Germany on 26 October 2022,True,5.0,positive,toptop,1.0,en
B09BNXY2T3,Difficult to assemble with missing parts,Small pcs,Reviewed in the United Kingdom 🇬🇧 on 16 November 2022,True,1.0,negative,difficult to assembl with missing partssmall pcs,0.0,en
B075MGFZV4,My girl was extremely happy about this present,Beautiful and good quality,Reviewed in Germany 🇩🇪 on 19 October 2022,True,5.0,positive,my girl extremely happy about this presentbeautiful and good quality,1.0,en
B09YRNTY19,Sehr schöne und tolle Toniefigur👍,Sehr schön,Reviewed in Germany on 16 September 2022,True,5.0,positive,schon toll toniefigur schon,1.0,en
B0000AP6LD,Fast shipping. Good quality,Fast shipping. Good quality,Reviewed in Germany on 23 November 2022,True,5.0,positive,fast shipping good qualityfast shipping good quality,1.0,en
B09DTN6CQK,Ohne große Worte. Super,Super,Reviewed in Germany on 6 November 2022,True,5.0,positive,gross wort supersup,1.0,en
B09171Y3RW,Für einen schönen Spieleabend ist es Optimal.,Schönes Game.,Reviewed in Germany on 26 November 2022,True,5.0,positive,schon spieleab optimal schon gam,1.0,en
B08C42MPV4,Jeder Fall ist immer wieder schön und macht extrem viel Spaß zu spielen.,Total cool gemacht,Reviewed in Germany 🇩🇪 on 21 September 2022,True,5.0,positive,fall imm schon macht extr spass spiel total cool gemacht,1.0,en
B09NLBMT97,"I ordered this then was frustrated to learn it would not arrive in time for 1st December, only for it to arrive 28th November. Thanks so much for speedy post, my wee one will love it.",Pleasantly surprised,Reviewed in Australia 🇦🇺 on 28 November 2022,True,5.0,positive,ordered this then frustrated to learn it would not arriv tim for st decemb only for it to arriv th novemb thank much for speedy post my wee one lov it pleasantly surprised,1.0,en
B09QFXTYDC,"The walker itself is very authentic to its onscreen appearance, has a stable standing and is durable enough to withstand a good amount of play without losing more than the main canon (which can easily be reattached)",A must for anyone that enjoyed the clone wars,Reviewed in Germany on 6 November 2022,True,5.0,positive,the walk itself is very authentic to its onscre appearanc has stabl standing and is durabl enough to withstand good amount of play without losing mor than the main canon which can easily be reattached must for anyon that enjoyed the clon war,1.0,en
B09QFXTYDC,"Tolles Spielzeug , für echte Star Wars Fan.",super,Reviewed in Germany on 20 November 2022,True,5.0,positive,Great toy real star war fan SUP ,1.0,en
B0052DSEDU,My 9 y.o. daughter was happy to have this magic box! She figured out how to handle tricks and naw we watch magic show regularly,Good present,Reviewed in Germany 🇩🇪 on 23 September 2022,True,5.0,positive,my daught happy to hav this magic box she figured out how to handl trick and naw we watch magic show regularlygood present,1.0,en
B000KY3DFK,"Qualität super.Funktion super.War ein Geschenk,Kind hat sich gefreut.",Coole zwischen Bahn,Reviewed in Germany 🇩🇪 on 12 July 2022,True,5.0,positive,qualitat sup funktion sup geschenk kind gefreut cool bahn,1.0,en
B07Q8LT4KQ,"After I purchased  didn’t have the time to assemble the picture, but after couple of months decided to start, when I opened the box, I counted the number of pieces and found missing 3 missing parts with Titian of 997 pieces",Missing parts,Reviewed in Germany 🇩🇪 on 30 July 2022,True,1.0,negative,aft purchased didn hav the tim to assembl the pictur but aft coupl of month decided to start when opened the box counted the numb of piec and found missing missing part with titian of piecesmissing part,0.0,en
B0007WHZ6S,Top,Top,Reviewed in Germany on 18 November 2022,True,5.0,positive,toptop,1.0,en
B09YRPKGQV,Eine schöne Figur,Super,Reviewed in Germany on 14 June 2022,True,5.0,positive,schon figursup,1.0,en
B09P49HWHC,"Super tolle Adventskalender, da kann man auch selber entscheiden in welche packet was rein kommt und ist alles recycelt….  Es hat super schöne Sachen drin",Super schön,Reviewed in Germany 🇩🇪 on 26 November 2022,True,5.0,positive,sup toll adventskal selb entscheid packet rein kommt recycelt sup schon sach drinsup schon,1.0,en
B08HJ1VK25,Es ist wirklich spaßig und als Date Idee top,Sehr toll,Reviewed in Germany on 21 October 2022,True,5.0,positive,Really fun IDE IDE IDE TOPSEIR Great ,1.0,en
B09BP6XRMC,The item is good as a gift but the price is too high,OK value for money,Reviewed in Germany 🇩🇪 on 25 June 2022,True,5.0,positive,the item is good as gift but the pric is too highok valu for money,1.0,en
B09BP6XRMC,"Delivered quick, but the box was covered in poop! I need to return it as it is very unhygienic.",Covered in poop!,Reviewed in Australia 🇦🇺 on 19 March 2022,True,1.0,negative,delivered quick but the box covered poop need to return it as it is very unhygienic covered poop,0.0,en
B07BH7LMWP,"Broken in few minutes  ! All the toys which have the same type of little pièces are Always broken in few minutes of use. I think, it's a conception default.. what Can you do to recover this ? Thé children are really desapointed ! Thanks for tour help.",Broken in few minutes  !,Reviewed in Germany on 23 January 2022,True,2.0,negative,brok few minut all the toys which hav the sam typ of littl pièc are always brok few minut of use think it conception default what can you do to recov this thé childr are really desapointed thank for tour help brok few minut,0.0,en
B07MGJ6MKJ,Top,Top,Reviewed in Germany on 18 November 2022,True,5.0,positive,toptop,1.0,en
B09BNVM6JF,"Gut, schnelle Lieferung...alles Top",Alles Top,Reviewed in Germany on 6 November 2022,True,5.0,positive,gut schnell liefer topall top,1.0,en
B09BNVM6JF,Guter Preis und rasche Lieferung,Alles Top,Reviewed in Germany on 1 November 2022,True,5.0,positive,gut preis rasch lieferungall top,1.0,en
B0B94MBXP4,Tipp top Schnelle Lieferung,Tipp top,Reviewed in Germany on 27 November 2022,True,5.0,positive,tipp top schnell lieferungtipp top,1.0,en
B0B94MBXP4,"Meine Tochter liebt ihn und es sind sehr schöne Melodien, sogar wir Eltern finden ihn schön. Einer der schönsten Tonies von allen.",Einer der schönsten Tonies,Reviewed in Germany on 27 October 2022,True,5.0,positive,tocht liebt schon melodi sogar elt find schon schon toni schon toni,1.0,en
B09T66291W,"Unser Sohn liebt das Gerät, es ist total cool! Volle Kaufempfehlung!",Cooles Gadget,Reviewed in Germany on 13 November 2022,True,5.0,positive,sohn liebt gerat total cool voll kaufempfehl cool gadget,1.0,en
B09T66291W,top,top,Reviewed in Germany on 10 October 2022,True,5.0,positive,toptop,1.0,en
B07KMNDBF5,Stifte machen eine tolle Farbe und man kann damit schon malen.,Schöne Farben,Reviewed in Germany on 17 November 2022,True,5.0,positive,Stift Toll Farb Schon Mal Schon Farb ,1.0,en
B08X16LL57,"We just enjoy this Adventskalender every day. Every door opens up to find another interesting surprise. With glow in the dark, glitter and other slime sortiments to mix them up as you please. I will definitely buy it again for my son next year!My daughter cannot wait to find the next surprise and we didn't have a boring day.Good price for quality.",One of the best Adventskalender ever!,Reviewed in Germany 🇩🇪 on 20 December 2021,True,5.0,positive,we just enjoy this adventskal every day every door open up to find anoth interesting surpris with glow the dark glitt and oth slim sortiment to mix them up as you pleas definitely buy it again for my son next year my daught can not wait to find the next surpris and we didn hav boring day good pric for quality one of the best adventskal ever,1.0,en
B09NRWHM96,I get this every year for my brother who drives truck. He has grandkids at home and every night he does a live video of himself opening one and then the kids make comments to him. They all love it and helps them count down to when he comes home for Christmas.,Great advent calendar,Reviewed in the United States on 29 November 2022,True,5.0,positive,get this every year for my broth who driv truck he has grandkid at hom and every night he does liv video of himself opening one and then the kid mak comment to him they all lov it and helps them count down to when he com hom for christmas great advent calendar,1.0,en
B09NRWHM96,To be honest it’s an advent calendar with hot wheels  so it will be dreamt in my grandsons eyes regardless or price or robustness.,It’s an advent calendar with hot wheels!,Reviewed in the United Kingdom on 8 November 2022,True,5.0,positive,to be hon it advent calendar with hot wheel it be dreamt my grandson eyes regardless or pric or robustness it advent calendar with hot wheel,1.0,en
B001KBYU9K,super,super Ware,Reviewed in Germany 🇩🇪 on 22 September 2022,True,5.0,positive,supersup war,1.0,en
B09QFNJ8ST,It is a lovely birthday  gift.,LEGO 21186 Minecraft The Ice Palace Set,Reviewed in Germany 🇩🇪 on 23 November 2022,True,5.0,positive,it is lovely birthday gift lego minecraft the ice palac set,1.0,en
B08F2R5NQ5,Top,Top,Reviewed in Germany on 10 November 2022,True,5.0,positive,toptop,1.0,en
B00OTKOKFS,"Good for child play. Doesn't snap strongly, but can sometimes be painful",Bunch of fun,Reviewed in Germany 🇩🇪 on 16 November 2022,True,5.0,positive,good for child play doesn snap strongly but can sometim be painfulbunch of fun,1.0,en
B0002HWUNQ,Everthing ok,Everything ok,Reviewed in Germany on 6 October 2022,True,5.0,positive,everthing okeverything ok,1.0,en
B0002HWUNQ,"Sorry, I don't have time to write a longer review...I'm playing with the GraviTrax!",Amazing fun,Reviewed in Germany on 6 June 2022,True,5.0,positive,sorry don hav tim to writ long review playing with the gravitrax amazing fun,1.0,en
B09BNTJMND,super,super Ware,Reviewed in Germany 🇩🇪 on 22 September 2022,True,5.0,positive,supersup war,1.0,en
B09BNTJMND,"The same article I saw on shop which costet 29,99 euro and on amazon I got this item for 17,95. I was so happy when I checked on amazon and immediately I ordered. The kid is also happy to receive the gift he wished for and mumma is also happy by saving some euros :)",Fair price on amazon,Reviewed in Germany 🇩🇪 on 5 June 2022,True,5.0,positive,the sam articl saw on shop which costet euro and on amazon got this item for happy when checked on amazon and immediately ordered the kid is happy to receiv the gift he wished for and mumma is happy by saving som euros fair pric on amazon,1.0,en
B09BNTJMND,You cry when you're trying to assemble it.You cry when it breaks by slightest touch.You cry when you lose its tiny pieces.You cry when miniscule Lego pieces lying unnoticed on the floor pierce your feet.You cry when you've realised that it's a toy that isn't meant to be played.,Lego is an expensive way to cry.,Reviewed in India on 2 September 2022,True,2.0,negative,you cry when you re trying to assembl it you cry when it break by slight touch you cry when you los its tiny piec you cry when miniscul lego piec lying unnoticed on the floor pierc your feet you cry when you ve realised that it toy that isn meant to be played lego is expensiv way to cry,0.0,en
B09BNTJMND,"Presents for children, all wet！！！",Rubbish！！,Reviewed in Singapore on 6 June 2022,True,1.0,negative,present for childr all wet rubbish,0.0,en
B08SXT8F8L,Die Gummibärchen lösen sich nicht aus der Form. Für Kinder war es lustig. Ich kann das Produkt nicht empfehlen.,Kinder hatten Spaß allerdings lösen sich die Bärchen,Reviewed in Germany on 10 July 2022,False,1.0,negative,gummibarch los form kind lustig produkt empfehl kind spass allerding los barch,0.0,en
B07P7VVDLK,Sehr zu empfehlen tolles Geschenk und super Qualität. Meine Enkelkinder lieben das Ding macht tolle Bilder.,Fotoapparat,Reviewed in Germany 🇩🇪 on 26 November 2022,True,5.0,positive,empfehl toll geschenk sup qualitat enkelkind lieb ding macht toll bild fotoapparat,1.0,en
B09QFLHYNB,Alles super !,"Playmobil,toll wie immer.",Reviewed in Germany on 24 November 2022,True,5.0,positive,sup playmobil toll imm,1.0,en
B07TJNW37W,My 8 year old daughter goes to music school which is 1 km away and I give it to her to tell me if she manages on her own between classes. Perfect for communication !,Perfect for short distance communication,Reviewed in Germany on 9 October 2022,True,5.0,positive,my year old daught goes to music school which is km away and giv it to her to tell me if she manag on her own betwe class perfect for communication perfect for short distanc communication,1.0,en
B07P7KQX3P,My grandkids have good time with it.I like it too...,As always- a pleasure,Reviewed in Germany on 26 August 2022,True,5.0,positive,my grandkid hav good tim with it lik it too as always pleasur,1.0,en
B08P22GX79,Super coole Action figur. Macht meinem Sohn super viel Spaß. Seeehr Robust.,Wow,Reviewed in Germany 🇩🇪 on 29 October 2022,True,5.0,positive,sup cool action figur macht sohn sup spass seeehr robust wow,1.0,en
B08P22GX79,"Its as it is described. Bought it for 17.99, value for money",My son loves it.,Reviewed in Germany 🇩🇪 on 27 August 2022,True,5.0,positive,its as it is described bought it for valu for moneymy son lov it,1.0,en
B08P22GX79,"It only looks good on Internet, the product is roughly made, plastic is empty and feels like if it falls, it will break into pieces, came with scratched eye and a whole in the back to attach some kind of extra that also needs to be bought and couldnt find it. Very disappointed. The only good thing is that my son will be happy for few days hopefully months but its not a product that was made to last long.",Cheap and poor made,Reviewed in Germany on 4 December 2021,True,1.0,negative,it only look good on internet the product is roughly mad plastic is empty and feel lik if it fall it break into piec cam with scratched eye and whol the back to attach som kind of extra that need to be bought and couldnt find it very disappointed the only good thing is that my son be happy for few days hopefully month but its not product that mad to last long cheap and poor mad,0.0,en
B08VD3434R,Meiner Tochter liebt es🙃,Tonyfigur,Reviewed in Germany on 5 November 2022,True,5.0,positive,tocht liebt tonyfigur,1.0,en
B08SPN5LCD,"Mein kind lieb cubby über allesein traum teddybär,ich wünschte ich hätte sowas in meine kindheit haben können 🥰",Tollste Teddybär,Reviewed in Germany on 29 November 2022,True,5.0,positive,kind lieb cubby allesein traum teddybar wunscht hatt sowas kindheit toll teddybar,1.0,en
B08SPN5LCD,nice toy with many functions,perfect toy,Reviewed in Germany on 4 October 2022,True,5.0,positive,nic toy with many functionsperfect toy,1.0,en
