asin,text,title,location_and_date,verified,rating,negative or positive
B07HBDNGHC,"Wenn man sich mittlerweile im Bekanntenkreis umhört fällt immer ein Wort, was man dem Kind doch schenken kann und woran es Freude hat: TonieboxSo haben auch wir uns diesem Druck gebeugt und zum Geburtstag eine Toniebox mit Kreativ-Tonie angeschafft. Die Verwandtschaft und Freunde bekamen einfach nur den Hinweis, dass diese doch einfach einen „Tonie“ schenken können.» Was macht die Toniebox so besonders und so beliebt?Genau genommen ist es einfach nur ein Lautsprecher mit einer NFC Schnittstelle, welcher gut gepolstert wurde und durch süße Figuren die Kinder in ihren Bann zieht. Der Erfolg und das Besondere ist das Ökosystem der Toniebox.Die Figuren gibt es mittlerweile fast überall zu kaufen und diese werden nur im Sonderangebot oder mit Rabatten etwas günstiger und sind sonst sehr wertstabil. Auch der Gebrauchtwarenmarkt sieht da nicht anders aus. Die meisten Figuren findet man gerade einmal um die Versandkosten reduziert vom Originalpreis.Es gibt für nahezu jeden beliebten Kinderklassiker eine Toniefigur und durch das Bespielen des Kreativ-Tonies, kann man zudem seinen ganz eigenen Stil mit einbringen.Wir haben unseren Kreativ-Tonie einfach mit einem von uns gesungenen Happy Birthday Lied bespielt und unser Sohn hat dies dann beim daraufstellen des Tonie ganz verblüfft gehört.Auch die Verwaltung der Box geht durch die WLAN Verbindung und das sehr gute Webportal bzw. die App echt richtig gut. Und hat man alles durch von seinen Tonies, so kann man online mit einem Klick einfach neue Geschichten und Hörbücher zu seinem Tonie hinzufügen.Das ganze kostet natürlich auch..» Welche Folgekosten können entstehen?Die Toniebox an sich ist schon nicht günstig, aber aufgrund der guten Software und Verarbeitung ist der Preis noch in Ordnung. Einzelne Toniefiguren kosten 12 € bis 15 € und sind nur mittels Rabatten mal etwas günstiger zu bekommen (~ 10 €).Holt man sich also ein paar Figuren ist man sehr schnell bei über 100 € und das ist erst der Anfang.Hat man alle Geschichten bzw. Lieder der Toniefigur durch, wird es schnell langweilig. Manche gehen nur 30 Minuten und andere bis zu 90 Minuten.Online kann man seine Toniefigur mit zusätzlichen Material erweitern. Die sogenannte Audiothek schafft schnell Abhilfe bei Langeweile und kann der Toniefigur neue Inhalte geben. Manchmal sind es 30 Minuten und manchmal auch bis zu 90 Minuten.Möchte man nun beispielsweise alle Benjamin Blümchen Hörbücher sich holen, so kommt man auf 142 mal 6 Euro.Wie man sieht kann man hier ordentlich Geld lassen, wenn man sich in der Audiothek austobt und das sollte jedem auch bewusst sein. Nur alleine die Toniefiguren reichen dem Kind nicht dauerhaft und immer den Kreativ-Tonie mit Hörspielen usw. zu bestücken, kann auf Dauer auch sehr mühsam werden.» Spielvergnügen und HandhabungVerarbeitet ist die Toniebox sehr gut. Diese kann herunterfallen und trägt keinen Schaden davon, durch eine gute Polsterung. Die Bedienung ist einfach und intuitiv, so dass das Kind es sehr schnell versteht. Man kann die maximale Lautstärke begrenzen via Einstellungen oder einfach mittels Klinkenanschluss Kopfhörer anschließen.Die Toniefiguren sind nicht nur „Datenträger“, sondern auch sehr liebevoll und detailgetreu verarbeitet, so dass man damit auch wunderbar spielen kann. Das einfache Daraufstellen und Abnehmen der Figuren beherrscht jedes Kind. Durch ein einfach Kippen der Box kann man Vor- und Zurückspulen.Leider ist das exakte Finden von Liedern oder Stellen, wo man gerade hinmöchte durch das fehlende Display nur schwer möglich. Aber kein Display kann somit auch nicht kaputt gehen.» Würde ich die Toniebox empfehlen?Aktuell Ja, wenn man auch bereit ist Geld auszugeben.Ein paar essentielle Funktionen wie beispielsweise eine Remotesteuerung via Handy App fehlen aber gänzlich. So ist es uns nicht möglich die Toniebox einfach via Handy auszuschalten, wenn unser Sohn eingeschlafen ist. In Anbetracht des Preises leider enttäuschend.» FazitDesto populärer etwas wird, desto höher wird der Preis. Die Toniebox ist aktuell wohl eins der populärsten Spielsachen in einem Altersbereich von 2-7 Jahren und dementsprechend teuer ist auch das gesamte Ökosystem. Die Möglichkeit der Audiothek ist super um einen gekauften Tonie neue Inhalte zu geben.Nichtsdestotrotz kommt man aktuell an einer Toniebox nur schwer vorbei und ist natürlich auch gewollt das eigene Kind glücklich zu sehen und öffnet das Portemonnaie entsprechend weiter.In Sachen Verarbeitung und wie man die Toniebox steuert bzw. via Browser und App verwalten kann, ist es aktuell konkurrenzlos gut.Unser Sohn spielt gerne mit der Toniebox und singt auch immer mit bzw. kann sich damit gut beschäftigen, daher war es auf jeden Fall eine gute und lohnenswerte Investition und die ganze Familie hat nun immer ein Notfallgeschenk, wenn denen nichts anderes einfällt.Ich hoffe meine Rezension war nützlich und konnte hilfreich sein.",» Folgekosten im Auge behalten,Reviewed in Germany on 2 March 2021,True,3.0,negative
B07HBDNGHC,Das Enkelkind mag seine Toniebox - aber auch nur weil es keine Hörspiel-Kassetten kennt!Unserer Kinder konnten ihre Lieblingsgeschichten und Lieder noch vor- und zurück spulen! So ein TONIE kann nur laut und leise.Es brauchte auch keine Figur - das Cover/Inlay der Kassette enthielt alles wichtige.Bei der Anschaffung (Kassettenrekorder / Hörspielkassetten) konnten die Kinder noch eine Menge Taschengeld sparen - heute brauchen die eine saftige Taschengelderhöhung damit sie sich auch nur ein weiteres TONIE zulegen können.,Insgesamt recht Teuer!,Reviewed in Germany on 14 November 2022,True,3.0,negative
B07HBDNGHC,Erster Tonie ließ sich nicht mit dem W-lan verbinden .Es war nicht das erste mal mit diesem Produkt.Umtausch wie immer bei Amazon Problemlos.,Verbindungsprobleme,Reviewed in Germany on 18 November 2022,True,3.0,negative
B07HBDNGHC,"Zu aller erst: der Händler bei dem wir die Box bestellt haben, ist sehr hilfreich und zuvorkommend gewesen! Hier Daumen hoch! 👍Zur Box: Ich habe selten so ein absolut schlechtes Produkt wie die so beliebte und weit verbreitete Tonibox gesehen.Die Installation… selten so etwas mühsames eingerichtet wie diesen Schwachsinn. Übers Handy und die App bekommt man so und so nur Fehlermeldungen. Über den PC dauert es lange und ist zermürbend, denn wenn eine Fehlermeldung kommt muss man den Installationsprozess von Vorne beginnen.Man braucht übrigens für die normale Benutzung der Box IMMER Internet (der offline Modus funktioniert nur die selbst aufgenommenen Audios), was die ganze Box schon einmal vollkommen ungeeignet für Reisen oder Urlaube macht.Die Verarbeitung ist dermaßen unter jeder Kritik. Die Drucksensoren reagieren nicht nur oft falsch, sondern schlecht. Man muss richtig fest darauf schlagen, damit man Vor- oder Zurück spulen kann.Wir dachten dass unsere Tonibox fehlerhaft sei und tauschten sie gegen eine Neue um… Nein, es ist bei allen gleich schlecht.Wie man mit so einem absoluten Müll dermaßen viel Erfolg haben kann ist mir ein Rätsel. Ich kann nur allen Eltern schwerstens davon abraten!FINGER WEG VON DIESER ABZOCKE",Toni-Box: wie man mit Müll erfolgreich sein kann,Reviewed in Germany on 3 November 2022,True,1.0,negative
B07HBDNGHC,Leider hat die Toniebox nach einem halben Jahr bereits einen Riss am Ohr da wo man die Lautstärke reguliert. Dadurch spinnt die Box. Ich habe den Verkäufer kontaktiert und warte derzeit noch auf seine Rückmeldung. Danach lasse ich euch wissen wie es ausgegangen ist.,Leider schon am spinnen,Reviewed in Germany on 6 October 2022,True,3.0,negative
B07HBDNGHC,"Ich würde nicht nochmal eine Tonie Box kaufen.Sie ist super intuitiv schon für kleinste Kinder zu bedienen. Unser Kind wusste schon mit 18 Monaten ganz genau wie es funktioniert. Und die Auswahl an Tonies ist riesig. Das war aber auch schon das negative.Ich würde mir eine Timer Funktion oder einen Schlafmodus wünschen. Unser Kind hört damit zum einschlafen Musik. Die Lautstärke bleibt aber immer Konstant laut und der ganze Tonie muss durchgehört werden bis die Box ausgeht.Hier wäre es toll wenn man über die App einstellen könnte das es langsam ausklingt und leiser wird. So muss am immer ins Kinderzimmer schleichen und den Tonie von der Box nehmen.Was ich noch schlimmer finde ist, dass der Ladekontakt nicht immer funktioniert.Wenn die LED orange leuchtet ist der Akku schwach. Ich stelle dann die Box auf die Ladestation und verlasse das Zimmer.Jetzt ist es mir aber schon zig mal passiert, dass ich abends die Box anmachen wollte und die LED immer noch orange leuchtete. Box wurde offensichtlich nicht geladen.Man muss also die Box auf die Station stellen und warten ob das Signal kommt das sie geladen wird. Klappt bei uns auch nicht immer und die Box muss hochgenommen und erneut aufgestellt oder gedreht werden.Alles in allem überteuertes Produkt. Zumal es ähnliche Modelle bereits beim Discounter für wesentlich weniger Geld gibt.",Nicht zufrieden,Reviewed in Germany on 8 February 2022,True,3.0,negative
B07HBDNGHC,"Das Produckt ist klasse, der Versand war sehr schnell, was uns nicht gefallen hatt, war das es nicht verpackt war, sondern im Originalkarton verschickt wurde auf dem nun der Versandaufkleber klebt, was bei einem Geburtstagsgeschenk nicht gerade ansehnlich ist.","Produckt super, Verpackung leider schlecht",Reviewed in Germany on 28 September 2022,True,3.0,negative
B07HBDNGHC,Sehr nervig wenn der Preis täglich am schwanken ist!Die Preispolitik sollte verboten werden. Damit ist nicht nur die Toonie Box gemeint.So nun leider paar Tage zu früh überteuert gekauft!,Preis täglich. schwankend,Reviewed in Germany on 26 November 2022,True,2.0,negative
B07HBDNGHC,Schwer zu installieren ist wieder nur was für kurze Zeit,Muss man es haben,Reviewed in Germany on 26 September 2022,True,3.0,negative
B07HBDNGHC,"Hallo Amazon Team,Die bestellten Tonieboxen wurden einwandfrei geliefert und sind sehr beliebt bei unseren Kindern. Allerdings ist der Produkt Support leider grottenschlecht! Eine Toniebox schaltet leider nicht mehr in den Lautsprecherbetrieb und kann nur über Kopfhörer abspielen. Die Tipps von der Tonie Website haben wir erfolglos versucht. Wir haben das Problem vor über 4 Wochen an den Support gemeldet und noch kein Feedback! Wenn man versucht unter der Hotline anzurufen, landet man bei einer privaten Rufnummer! (Bitte die Nummer ändern oder löschen. )Tolles Produkt, aber was bringt einem die Gewährleistung, wenn man keine Rückmeldung vom Händler bekommt???","Tolles Produkt, schlechter Service",Reviewed in Germany on 29 September 2022,True,2.0,negative
B07MV3DYGJ,"Es gibt wohl keine bessere Knete als die von playdoh. Unsere jüngste knetet auch schon. Es macht nix, wenn mal ein Krümel im Mund landet. Super praktisch; die knete wird Stein hart, wenn sie auf dem Boden landet. Man saugt sie einfach am nächsten Tag auf. Auch eingetretene Knete im Teppich lässt sich mit Wasser auswaschen. Daumen hoch.",Und wir kneten weiter,Reviewed in Germany 🇩🇪 on 28 November 2022,True,5.0,positive
B07MV3DYGJ,Super knete was soll man da sagen ..Glaube schon das 5 te Set für uns. Immer wieder gern.Ist ne super Größe auch zum Verschenken. Tolle Farben und passt alles,Tolle knete immer wieder gern.,Reviewed in Germany 🇩🇪 on 17 November 2022,True,5.0,positive
B07MV3DYGJ,"Wie jede andere Knete von Play doh, bunt , weich , riecht schön . Toll für Kinder",Knete,Reviewed in Germany 🇩🇪 on 27 November 2022,True,5.0,positive
B07MV3DYGJ,Eine beliebte Ergänzung zu vorhandenem Spielzeug.,wird von kleinen Kindern gern genommen,Reviewed in Germany 🇩🇪 on 27 November 2022,True,5.0,positive
B07MV3DYGJ,Es war ein unschlagbarer Preis für die beste Knete. Bin seid meiner Kindheit von Play- Doh begeistert,Beste Qualität,Reviewed in Germany 🇩🇪 on 21 November 2022,True,5.0,positive
B07MV3DYGJ,Es macht meiner Enkeltochter sehr viel Spaß damit zu kneten.  Sie ist sehr weich und die Kreativität wird sehr stark gefördert.,Preis Leistung passt perfekt,Reviewed in Germany 🇩🇪 on 15 November 2022,True,5.0,positive
B07MV3DYGJ,"Wartet auf jeden Fall bis der Pack im Angebot ist, dass ist regelmäßig der Fall. Alle Dosen werden sortiert in tollen Farben im original Karton direkt geliefert. Die Qualität ist wie immer bei Play-doh. Ich kaufe nur das Original weich, knetbar und im Topf einfach aufzubewahren.","Tolle Auswahl an Knete, regelmäßig im Angebot",Reviewed in Germany 🇩🇪 on 30 October 2022,True,5.0,positive
B07MV3DYGJ,Kann ich nur weiterempfehlen,Super 🤩,Reviewed in Germany 🇩🇪 on 23 November 2022,True,5.0,positive
B07MV3DYGJ,"Immer wieder ein tolles Geschenk für Kinder, regt die Phantasie an.",Glitzerknete,Reviewed in Germany 🇩🇪 on 15 November 2022,True,5.0,positive
B07MV3DYGJ,Tolle KonsitenzLässt sich leicht vom Tisch lösenReste problemlos abwaschbarTeuer,Knete,Reviewed in Germany 🇩🇪 on 13 November 2022,True,5.0,positive
B07MV3DYGJ,"Leider sind im Gegensatz zu der Produktbeschreibung und Abbildung keine 24 verschiedenen Farben angekommen.Rot und Orange ist doppelt, das Türkis ist sogar dreimal drin und das Dunkelblau fehlt leider komplett. Wollte dir Knete verschenken, sie kam leider aber in einem braunen Karton an, jetzt muss ich mir noch was einfallen lassen",Habe mehr erwartet,Reviewed in Germany 🇩🇪 on 26 November 2022,True,3.0,negative
B07MV3DYGJ,Verpackung und Inhalt alles bestens. 3 Sterne weil die Farbauswahl wild zusammengewürfelt ist und mansche Farben gefühlt 5 mal vorhanden sind mit minimalen Unterschieden.,Bewertung,Reviewed in Germany 🇩🇪 on 7 November 2022,True,3.0,negative
B07MV3DYGJ,Die Behälter sind sehr klein und dafür zum Originalpreis zu teuer,Sehr kleine Behälter,Reviewed in Germany 🇩🇪 on 19 October 2022,True,3.0,negative
B07MV3DYGJ,"After less than one month became dry. Not a good quality. My friends bought from another seller, and after even years it is soft.",Become dry,Reviewed in Germany 🇩🇪 on 28 November 2022,True,2.0,negative
B07MV3DYGJ,"Die Lieferung erfolgte zügig, die Verpackung war ok und die Zustellung durch den Lieferservice war ohne Beanstandung. Die Beschreibung des Artikels ist zutreffend. Ich bin mit der Qualität zufrieden.","Der Artikel entspricht meinen Erwartungen, ich bin damit zufrieden.",Reviewed in Germany 🇩🇪 on 13 September 2022,True,3.0,negative
B07MV3DYGJ,"Die süße Glitzer-Knete sollte die Augen eines kleinen Geburtstagsmädchens zum Leuchten bringen! Leider hat sich beim Öffnen herausgestellt, dass manche Knetdosen doch schon sehr hart (evtl. überlagert) waren... - das war sehr schade. Preis-Leistung ansonsten eigentlich ok. Aber es wäre schön, wenn alle Knetdosen, für die man bezahlt, auch eine 1A-Qualität hätten. Nicht umsonst kaufe ich ja beim namenhaften Marktführer... Die Lieferung war übrigens auch grottenschlecht! Zwei Mal war ich zuhause; zwei Mal konnte UPS mich leider nicht antreffen - wer's glaubt... Am Schluss durfte ich quer durch die Stadt zum UPS Depot.","Süßes Geschenk, ABER zum Teil hart und ""überlagert""",Reviewed in Germany 🇩🇪 on 13 June 2022,True,3.0,negative
B07MV3DYGJ,Auch wir haben die „üblichen“ Farben doppelt erhalten - scheinen wohl über zu sein & müssen weg.Tut der Knete allerdings keinen Abbruch & den 2 jährigen stört es nicht.Allerdings sollte man dann nicht mit 24 Farben werben.,"Keine 24 Farben, aber 24 Pötte",Reviewed in Germany 🇩🇪 on 15 August 2022,True,3.0,negative
B07MV3DYGJ,Wir haben die Knete heute erhalten leider auch einzeln in einem braunen Karton verpackt und 2 Farben sind 3x vorhanden also nur 20 Farben finde ich auch schade da 24 Farben versprochen werden. Sollte man vielleicht abändern in der Beschreibung,Preis in Ordnung,Reviewed in Germany 🇩🇪 on 11 July 2022,True,3.0,negative
